날짜,누적확진자수,전일대비증감수
2021.1.1,19352,357
2021.1.2,19602,250
2021.1.3,19800,198
2021.1.4,20129,329
2021.1.5,20328,199
2021.1.6,20591,263
2021.1.7,20888,297
2021.1.8,21079,191
2021.1.9,21267,188
2021.1.10,21454,187
2021.1.11,21595,141
2021.1.12,21762,167
2021.1.13,21914,152
2021.1.14,22048,134
2021.1.15,22175,127
2021.1.16,22331,156
2021.1.17,22476,145
2021.1.18,22608,132
2021.1.19,22709,101
2021.1.20,22852,143
2021.1.21,22977,125
2021.1.22,23092,115
2021.1.23,23219,127
2021.1.24,23352,133
2021.1.25,23453,101
2021.1.26,23557,104
2021.1.27,23686,129
2021.1.28,23791,105
2021.1.29,23903,112
2021.1.30,24055,152
2021.1.31,24155,100
2021.2.1,24262,107
2021.2.2,24390,128
2021.2.3,24578,188
2021.2.4,24750,172
2021.2.5,24876,126
2021.2.6,25019,143
2021.2.7,25163,144
2021.2.8,25275,112
2021.2.9,25365,90
2021.2.10,25540,175
2021.2.11,25723,183
2021.2.12,25881,158
2021.2.13,26017,136
2021.2.14,26169,152
2021.2.15,26319,150
2021.2.16,26480,161
2021.2.17,26738,258
2021.2.18,26923,185
2021.2.19,27103,180
2021.2.20,27226,123
2021.2.21,27356,130
2021.2.22,27462,106
2021.2.23,27587,125
2021.2.24,27731,144
2021.2.25,27853,122
2021.2.26,27984,131
2021.2.27,28115,131
2021.2.28,28235,120
2021.3.1,28327,92
2021.3.2,28449,122
2021.3.3,28568,119
2021.3.4,28686,118
2021.3.5,28815,129
2021.3.6,28943,128
2021.3.7,29075,132
2021.3.8,29175,100
2021.3.9,29277,102
2021.3.10,29415,138
2021.3.11,29553,138
2021.3.12,29693,140
2021.3.13,29833,140
2021.3.14,29945,112
2021.3.15,30054,109
2021.3.16,30133,79
2021.3.17,30253,120
2021.3.18,30377,124
2021.3.19,30523,146
2021.3.20,30638,115
2021.3.21,30763,125
2021.3.22,30872,109
2021.3.23,30969,97
2021.3.24,31106,137
2021.3.25,31233,127
2021.3.26,31354,121
2021.3.27,31481,127
2021.3.28,31619,138
2021.3.29,31726,107
2021.3.30,31871,145
2021.3.31,32029,158
2021.4.1,32228,199
2021.4.2,32394,166
2021.4.3,32549,155
2021.4.4,32698,149
2021.4.5,32850,152
2021.4.6,32997,147
2021.4.7,33195,198
2021.4.8,33439,244
2021.4.9,33654,215
2021.4.10,33855,201
2021.4.11,34069,214
2021.4.12,34231,162
2021.4.13,34389,158
2021.4.14,34636,247
2021.4.15,34853,217
2021.4.16,35069,216
2021.4.17,35286,217
2021.4.18,35490,204
2021.4.19,35627,137
2021.4.20,35775,148
2021.4.21,35993,218
2021.4.22,36223,230
2021.4.23,36427,204
2021.4.24,36680,253
2021.4.25,36855,175
2021.4.26,37009,154
2021.4.27,37125,116
2021.4.28,37382,257
2021.4.29,37609,227
2021.4.30,37836,227
2021.5.1,38031,195
2021.5.2,38213,182
2021.5.3,38340,127
2021.5.4,38524,184
