CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,PURCHASES_FREQUENCY,PURCHASES_TRX
C10001,40.900749,0.818182,95.4,0.166667,2
C10002,3202.467416,0.909091,0,0,0
C10003,2495.148862,1,773.17,1,12
C10004,1666.670542,0.636364,1499,0.083333,1
C10005,817.714335,1,16,0.083333,1
C10006,1809.828751,1,1333.28,0.666667,8
C10007,627.260806,1,7091.01,1,64
C10008,1823.652743,1,436.2,1,12
C10009,1014.926473,1,861.49,0.333333,5
C10010,152.225975,0.545455,1281.6,0.166667,3
C10011,1293.124939,1,920.12,1,12
C10012,630.794744,0.818182,1492.18,0.25,6
C10013,1516.92862,1,3217.99,1,26
C10014,921.693369,1,2137.93,0.75,26
C10015,2772.772734,1,0,0,0
C10016,6886.213231,1,1611.7,0.5,11
C10017,2072.074354,0.875,0,0,0
C10018,41.089489,0.454545,519,0.416667,8
C10019,1989.072228,1,504.35,0.666667,9
C10020,3577.970933,1,398.64,1,12
C10021,2016.684686,1,176.68,0.666667,8
C10022,6369.531318,1,6359.95,1,92
C10023,132.34224,0.636364,815.9,1,17
C10024,3800.151377,0.818182,4248.35,1,13
C10025,5368.571219,1,0,0,0
C10026,169.781679,1,399.6,1,12
C10027,1615.96724,1,102,0.166667,2
C10028,125.694817,1,233.28,1,12
C10029,7152.864372,1,387.05,0.666667,8
C10030,22.06349,1,100,0.416667,5
C10031,12136.21996,1,3038.01,1,64
C10032,1162.273324,1,1347.71,1,45
C10033,6732.823064,1,324.95,0.083333,3
C10034,125.660453,1,636.79,0.916667,11
C10035,3517.101616,0.727273,547.28,1,14
C10036,1656.350781,1,0,0,0
C10037,7427.076941,1,0,0,0
C10038,4047.480828,1,2380.55,0.75,41
C10039,6269.418144,1,204,0.083333,2
C10040,1411.60223,0.454545,963.24,0.083333,6
C10041,663.44781,0.727273,0,0,0
C10043,784.889762,0.909091,1526.59,0.583333,27
C10044,4104.710798,1,203.82,0.083333,1
C10045,1360.742377,1,0,0,0
C10046,5315.945594,1,1525.44,1,20
C10047,2242.311686,1,437,0.333333,5
C10048,474.447149,0.5,109.74,0.375,3
C10049,3910.111237,1,0,0,0
C10050,229.867179,1,2390.6,1,87
C10051,863.809833,1,507.5,0.166667,3
C10052,4931.331857,1,901.42,0.625,9
C10053,1078.888565,1,3107.85,0.666667,18
C10054,1565.681099,1,0,0,0
C10055,464.674156,0.888889,1979.22,0.666667,11
C10056,6.660517,0.636364,310,0.666667,8
C10057,1311.995984,1,1283.9,0.25,6
C10058,3625.218146,1,313.27,0.25,4
C10059,2386.330629,1,5217.62,0.916667,42
C10060,3971.138765,1,0,0,0
C10061,5493.90406,1,229,0.416667,6
C10062,1879.114033,0.727273,113,0.166667,2
C10063,1555.793701,1,66.2,0.083333,1
C10064,809.582978,0.909091,0,0,0
C10065,7.152356,0.090909,840,0.083333,1
C10067,1923.886805,1,1887.64,1,61
C10068,1758.059987,1,412.33,0.583333,11
C10069,809.847455,0.875,0,0,0
C10070,1576.305029,1,0,0,0
C10071,3990.523579,1,263.5,0.666667,8
C10072,1699.435486,1,1363.69,0.333333,4
C10073,5487.683724,1,419.1,0.916667,11
C10074,2990.422186,0.909091,4523.27,0.666667,33
C10075,656.01301,1,0,0,0
C10077,1808.972419,1,713.9,0.5,8
C10078,532.334517,0.909091,791.94,0.272727,7
C10079,5860.433624,1,561.87,0.833333,14
C10080,1727.638449,1,606.11,1,17
C10081,578.809679,1,320,0.75,8
C10082,1205.716678,1,0,0,0
C10083,6593.820644,1,388.66,0.583333,7
C10084,17.357563,0.909091,244.85,0.666667,13
C10085,81.584711,0.272727,0,0,0
C10086,3.78631,0.636364,133.05,0.416667,5
C10087,42.46443,0.545455,396,0.5,12
C10088,1935.362486,1,4915.6,1,50
C10089,134.917202,1,1247.8,1,22
C10090,7069.950386,1,1603.78,1,23
C10092,8181.251131,1,2258.01,1,60
C10093,4037.305658,1,45,0.083333,1
C10094,6110.265264,1,0,0,0
C10095,9381.255094,1,5100.07,1,46
C10096,1977.00709,1,1032.04,0.909091,17
C10097,1321.47608,1,45.65,0.083333,1
C10098,1307.717841,1,405.6,0.166667,2
C10099,2329.485768,1,213.34,0.25,3
C10100,1139.782882,1,0,0,0
C10101,1619.955708,1,739.44,0.666667,11
C10102,3505.671311,1,0,0,0
C10103,4.708041,0.363636,79,0.25,3
C10104,0,0,0,0,0
C10105,4.875885,0.666667,20,0.111111,1
C10106,23.394411,0.272727,1346.28,1,12
C10107,3539.801912,1,2823.8,0.916667,75
C10108,0.62424,0.090909,389.96,1,31
C10109,862.07238,1,0,0,0
C10110,2441.542991,1,808,0.25,4
C10111,408.656365,1,941.64,1,12
C10112,4986.400804,1,0,0,0
C10113,1246.624558,1,423.7,0.666667,10
C10114,6644.201651,1,4478.75,1,64
C10115,156.216753,0.818182,1354.86,0.916667,34
C10116,3393.351236,1,0,0,0
C10117,5322.994094,1,2812.2,1,81
C10118,6458.56209,1,0,0,0
C10119,175.341651,0.818182,1508.9,0.666667,14
C10120,680.195157,1,1045.57,1,25
C10121,223.763616,0.636364,2309.78,0.583333,12
C10122,1785.626943,1,0,0,0
C10123,54.933231,0.272727,495,0.166667,2
C10124,2662.629852,1,0,0,0
C10125,8504.876253,1,6724.26,1,85
C10126,1464.324632,1,1174.39,0.25,8
C10127,2114.158683,1,5580.85,1,75
C10128,2876.396444,1,0,0,0
C10130,14224.11541,1,0,0,0
C10131,2392.917738,1,12462.44,0.916667,217
C10132,57.453201,0.75,0,0,0
C10133,4245.855092,1,1957.3,0.833333,19
C10134,11167.23403,1,150.64,0.083333,1
C10135,69.405545,0.090909,0,0,0
C10136,116.654149,0.272727,907,0.25,8
C10137,4637.848144,1,1271.12,0.833333,33
C10138,24.28497,0.636364,250.6,0.583333,7
C10139,9354.06045,1,796.33,0.083333,1
C10140,231.108995,1,440,0.916667,22
C10141,1562.633343,1,1330.62,0.5,8
C10142,2494.868559,1,5491.79,1,52
C10143,706.132889,1,897.86,0.916667,18
C10144,19043.13856,1,22009.92,1,216
C10145,2235.103331,1,720.6,1,12
C10146,947.13081,1,197.06,0.333333,5
C10147,764.042156,0.818182,0,0,0
C10148,5347.814547,1,0,0,0
