index,area_type,availability,size,total_sqft,bath,balcony,price
0,Super built-up  Area,0,3,1056,2,1,39.07
1,Plot  Area,1,6,2600,5,3,120
3,Super built-up  Area,1,5,1521,3,1,95
5,Super built-up  Area,1,3,1170,2,1,38
11,Plot  Area,1,6,2785,5,3,295
12,Super built-up  Area,1,3,1000,2,1,38
14,Plot  Area,1,4,2250,3,2,148
15,Super built-up  Area,1,3,1175,2,2,73.5
16,Super built-up  Area,1,5,1180,3,2,48
17,Super built-up  Area,1,5,1540,3,3,60
18,Super built-up  Area,1,5,2770,4,2,290
21,Super built-up  Area,0,5,1755,3,1,122
22,Plot  Area,1,6,2800,5,2,380
24,Super built-up  Area,0,0,510,1,0,25.25
26,Super built-up  Area,1,3,660,1,1,23.1
28,Super built-up  Area,0,3,1151,2,2,48.77
29,Super built-up  Area,1,5,1025,2,1,47
30,Super built-up  Area,0,7,2100,4,0,186
31,Super built-up  Area,1,5,1075,2,1,35
32,Super built-up  Area,1,5,1760,2,2,123
33,Super built-up  Area,1,5,1693,3,3,57.39
35,Super built-up  Area,0,3,700,2,1,36
37,Super built-up  Area,1,5,1724,3,2,125
41,Super built-up  Area,0,5,1254,3,2,38
42,Super built-up  Area,1,1,600,1,0,38
44,Super built-up  Area,0,3,1330.74,2,2,91.79
46,Super built-up  Area,1,3,970,2,0,33
47,Super built-up  Area,0,3,1459,2,1,94.82
50,Super built-up  Area,1,3,1270,2,1,50
51,Super built-up  Area,0,5,1670,3,1,99
52,Built-up  Area,1,5,2010,3,2,91
53,Super built-up  Area,1,3,1185,2,2,75
54,Super built-up  Area,1,5,1600,2,3,75
55,Super built-up  Area,1,3,1200,2,2,44
57,Super built-up  Area,1,3,1500,2,2,185
61,Super built-up  Area,1,3,845,2,1,55
62,Plot  Area,1,6,5700,5,3,650
63,Built-up  Area,1,3,1160,2,2,44
66,Super built-up  Area,0,3,1140,2,3,43
71,Super built-up  Area,0,3,1358,2,1,80.58
72,Super built-up  Area,1,5,1569,3,1,101
73,Super built-up  Area,0,3,1240,2,1,70
74,Super built-up  Area,1,5,2089,3,2,140
77,Built-up  Area,1,5,2511,3,3,205
80,Super built-up  Area,1,5,1660,2,2,105
82,Super built-up  Area,0,3,1326,2,2,78
84,Super built-up  Area,1,5,1499,5,2,102
87,Super built-up  Area,0,3,708,2,2,37
88,Super built-up  Area,1,3,1060,2,2,58.06
90,Built-up  Area,1,3,1000,2,2,70
94,Super built-up  Area,0,3,1296,2,3,80
96,Plot  Area,1,6,2894,4,1,245
100,Super built-up  Area,1,5,2502,3,3,138
101,Built-up  Area,1,3,650,1,1,17
102,Plot  Area,1,4,2400,2,1,150
103,Super built-up  Area,1,3,1007,2,2,43
104,Super built-up  Area,1,3,1200,2,2,50
107,Built-up  Area,1,5,1640,3,2,229
109,Super built-up  Area,0,3,1260,2,2,66.78
111,Super built-up  Area,1,5,1413,2,2,75
112,Super built-up  Area,1,3,1116,2,1,51.91
113,Super built-up  Area,1,5,1530,2,1,45.9
115,Built-up  Area,1,4,2497,3,2,140
116,Super built-up  Area,1,5,1540,2,3,64
120,Super built-up  Area,1,5,1427,3,2,120
121,Super built-up  Area,1,5,2061,3,1,200
122,Super built-up  Area,0,7,3067,4,0,477
124,Super built-up  Area,0,5,1282,2,2,68.52
126,Built-up  Area,1,5,1600,3,2,65
128,Super built-up  Area,1,3,1500,2,1,78
130,Built-up  Area,1,5,1870,3,3,110
131,Plot  Area,1,4,1600,3,1,75
132,Super built-up  Area,1,3,880,1,1,16.5
134,Super built-up  Area,1,5,1535,3,2,83
135,Built-up  Area,1,3,950,2,1,57
136,Super built-up  Area,0,3,1360,2,1,65
137,Super built-up  Area,0,3,1042,2,0,54.005
139,Super built-up  Area,0,5,1260,2,2,85.05
141,Super built-up  Area,0,9,3050,5,1,213
142,Super built-up  Area,1,5,1563.05,3,1,105
144,Super built-up  Area,0,3,1167,2,1,43.76
147,Super built-up  Area,1,3,890,2,1,35
148,Super built-up  Area,1,5,1612,3,3,46.74
150,Super built-up  Area,0,5,1710,4,2,91.31
151,Super built-up  Area,1,3,957,2,1,58
154,Super built-up  Area,1,3,1125,2,2,50
155,Super built-up  Area,0,3,1020,2,1,30.6
157,Super built-up  Area,1,5,1735,3,3,135
158,Super built-up  Area,1,5,2050,3,1,145
161,Super built-up  Area,0,3,1063,2,1,32
162,Super built-up  Area,1,5,1904,3,1,150
164,Super built-up  Area,1,5,2000,3,1,175
165,Super built-up  Area,0,3,1145,2,0,43.49
166,Super built-up  Area,1,5,1425,2,2,75
167,Super built-up  Area,1,5,1500,2,1,64.5
168,Built-up  Area,1,3,1060,2,1,60
169,Built-up  Area,1,5,1470,2,2,70
